prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;882.0;0;0.2;0.39;0.41;RT1;0.0;0.0;2;50.0;
null;1;884.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
null;1;890.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;896.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;902.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;908.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;914.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;916.0;0;0.29;0.32;0.39;RT3;0.0;0.0;2;50.0;
null;1;920.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;926.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;932.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;938.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;944.0;1;0.14;0.2;0.66;BT2;0.0;0.0;2;50.0;
null;1;950.0;0;0.29;0.32;0.39;RT3;0.0;0.0;2;50.0;
null;1;950.0;1;0.14;0.2;0.66;BT2;0.0;0.0;2;50.0;
null;1;956.0;1;0.14;0.2;0.66;BT1;0.0;0.0;2;50.0;
null;1;962.0;1;0.14;0.2;0.66;BT1;0.0;0.0;2;50.0;
null;1;967.0;0;0.25;0.31;0.44;RT1;0.0;0.0;2;50.0;
null;1;968.0;1;0.14;0.2;0.66;BT1;0.0;0.0;2;50.0;
null;1;974.0;1;0.14;0.2;0.66;BT1;0.0;0.0;2;50.0;
null;1;980.0;1;0.14;0.2;0.66;BT1;0.0;0.0;2;50.0;
null;1;984.0;0;0.25;0.31;0.44;RT1;0.0;0.0;2;50.0;
null;1;986.0;1;0.14;0.2;0.66;BT1;0.0;0.0;2;50.0;
null;1;992.0;1;0.14;0.2;0.66;BT2;0.0;0.0;2;50.0;
null;1;998.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;4.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;10.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;16.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;19.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;22.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;28.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;34.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;36.0;0;0.25;0.31;0.44;RT1;0.0;0.0;2;50.0;
null;1;40.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;46.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;52.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;58.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;64.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
